title,detail_url,mockup_url,pdf_url,pattern
Drift in Pewter / DR02.4,https://raw.githubusercontent.com/fayekaubell/speakeasy/refs/heads/main/images/FayeBell-DR02.4.jpg,https://raw.githubusercontent.com/fayekaubell/speakeasy/refs/heads/main/images/FayeBell-DR02.4-Mockup-25.jpg,https://github.com/fayekaubell/speakeasy/blob/main/images/DR02.2-Repeat-1.3-Scale.jpg,Drift
Drift in Mineral / DR02.6,https://raw.githubusercontent.com/fayekaubell/speakeasy/refs/heads/main/images/FayeBell-DR02.6.jpg,https://raw.githubusercontent.com/fayekaubell/speakeasy/refs/heads/main/images/FayeBell-DR02.6-Mockup-31.jpg,https://github.com/fayekaubell/speakeasy/blob/main/images/DR02.2-Repeat-1.3-Scale.jpg,Drift
Drift in Nordic / DR05.5,https://raw.githubusercontent.com/fayekaubell/speakeasy/refs/heads/main/images/FayeBell-DR05.5.jpg,https://raw.githubusercontent.com/fayekaubell/speakeasy/refs/heads/main/images/FayeBell-DR05.5-Mockup-ATF-13.jpg,https://github.com/fayekaubell/speakeasy/blob/main/images/DR02.2-Repeat-1.3-Scale.jpg,Drift
Drift in Celadon / DR07.2,https://raw.githubusercontent.com/fayekaubell/speakeasy/refs/heads/main/images/FayeBell-DR07.2.jpg,https://raw.githubusercontent.com/fayekaubell/speakeasy/refs/heads/main/images/FayeBell-DR07.2-mockup-51.jpg,https://github.com/fayekaubell/speakeasy/blob/main/images/DR02.2-Repeat-1.3-Scale.jpg,Drift
Drift in Nimbus / DR09.5,https://raw.githubusercontent.com/fayekaubell/speakeasy/refs/heads/main/images/FayeBell-DR09.5.jpg,https://raw.githubusercontent.com/fayekaubell/speakeasy/refs/heads/main/images/FayeBell-DR09.5-Mockup-54.jpg,https://github.com/fayekaubell/speakeasy/blob/main/images/DR02.2-Repeat-1.3-Scale.jpg,Drift
Drift in Carbon / DR10.4,https://raw.githubusercontent.com/fayekaubell/speakeasy/refs/heads/main/images/FayeBell-DR10.4.jpg,https://raw.githubusercontent.com/fayekaubell/speakeasy/refs/heads/main/images/FayeBell-DR10.4-Mockup-33.jpg,https://github.com/fayekaubell/speakeasy/blob/main/images/DR02.2-Repeat-1.3-Scale.jpg,Drift
Drift in Cashmere / DR11.5,https://raw.githubusercontent.com/fayekaubell/speakeasy/refs/heads/main/images/FayeBell-DR11.5.jpg,https://raw.githubusercontent.com/fayekaubell/speakeasy/refs/heads/main/images/FayeBell-DR11.5-Mockup-20.jpg,https://github.com/fayekaubell/speakeasy/blob/main/images/DR02.2-Repeat-1.3-Scale.jpg,Drift
Drift in Woodland / DR14.4,https://raw.githubusercontent.com/fayekaubell/speakeasy/refs/heads/main/images/FayeBell-DR14.4.jpg,https://raw.githubusercontent.com/fayekaubell/speakeasy/refs/heads/main/images/FayeBell-DR14.4-Mockup-45.jpg,https://github.com/fayekaubell/speakeasy/blob/main/images/DR02.2-Repeat-1.3-Scale.jpg,Drift
Drift in Earthen / DR14.6,https://raw.githubusercontent.com/fayekaubell/speakeasy/refs/heads/main/images/FayeBell-DR14.6.jpg,https://raw.githubusercontent.com/fayekaubell/speakeasy/refs/heads/main/images/FayeBell-DR14.6-mockup-55.jpg,https://github.com/fayekaubell/speakeasy/blob/main/images/DR02.2-Repeat-1.3-Scale.jpg,Drift
Drift in Parchment / DR16.4,https://raw.githubusercontent.com/fayekaubell/speakeasy/refs/heads/main/images/FayeBell-DR16.4.jpg,https://raw.githubusercontent.com/fayekaubell/speakeasy/refs/heads/main/images/FayeBell-DR16.4-Mockup-23.jpg,https://github.com/fayekaubell/speakeasy/blob/main/images/DR02.2-Repeat-1.3-Scale.jpg,Drift
Drift in Harvest / DR17.4,https://raw.githubusercontent.com/fayekaubell/speakeasy/refs/heads/main/images/FayeBell-DR17.4.jpg,https://raw.githubusercontent.com/fayekaubell/speakeasy/refs/heads/main/images/FayeBell-DR17.4-Mockup-58.jpg,https://github.com/fayekaubell/speakeasy/blob/main/images/DR02.2-Repeat-1.3-Scale.jpg,Drift
